                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2571,                 3.9687,                  1.927,                0.25895,                 0.1151,                 0.0458,                 0.0178,                 2.2233,                 6.1769,                 1.8485,             0.00023839,             0.00023839,             0.00023839
                      2,                 2.0142,                  2.774,                 1.7048,                 0.2503,                 0.3558,                 0.1043,                0.02863,                 2.3629,                 20.305,                 2.2988,             0.00047967,             0.00047967,             0.00047967
                      3,                  2.049,                 2.6472,                 1.7369,                0.10915,                0.11232,                0.04781,                0.01921,                 2.3997,                 5.4126,                 2.1148,             0.00071609,             0.00071609,             0.00071609
                      4,                  2.092,                 2.5559,                 1.7739,                0.08918,                0.29653,                0.09029,                0.03002,                 2.3353,                 47.212,                 2.3851,             0.00074616,             0.00074616,             0.00074616
                      5,                 2.0304,                 2.2929,                 1.7935,                0.21727,                0.38228,                0.13362,                0.05303,                 2.3346,                 9.0808,                 2.3184,             0.00074616,             0.00074616,             0.00074616
                      6,                 2.0196,                 2.2074,                 1.7531,                0.15441,                0.30313,                0.17291,                0.06327,                 2.3005,                 3.5756,                 2.0524,             0.00073855,             0.00073855,             0.00073855
                      7,                 1.9727,                 2.1731,                 1.7601,                0.33064,                0.21013,                0.14731,                 0.0564,                  2.249,                 5.0443,                 2.0467,             0.00073093,             0.00073093,             0.00073093
                      8,                 1.9494,                 2.0287,                 1.7245,                0.18634,                0.20225,                0.16505,                0.06477,                 2.2055,                 5.2608,                 1.9912,             0.00072332,             0.00072332,             0.00072332
                      9,                  1.872,                 2.0279,                 1.6848,                0.15251,                0.39426,                0.23474,                 0.0939,                 2.1781,                 3.2483,                 1.9991,             0.00071571,             0.00071571,             0.00071571
                     10,                 1.9093,                 1.9541,                  1.719,                0.28224,                0.33581,                0.25435,                0.10501,                  2.222,                 2.8408,                 1.9954,              0.0007081,              0.0007081,              0.0007081
                     11,                 1.8912,                 1.8537,                 1.6784,                0.48038,                0.36025,                0.28062,                0.12769,                 2.1775,                 2.6942,                 1.9202,             0.00070048,             0.00070048,             0.00070048
                     12,                 1.8713,                  1.782,                 1.6559,                0.51556,                0.32781,                0.25458,                0.10091,                 2.2374,                   3.06,                  1.928,             0.00069287,             0.00069287,             0.00069287
                     13,                 1.8713,                 1.8829,                 1.6565,                0.31443,                0.19846,                0.25575,                0.11015,                 2.2703,                 2.9793,                 1.9349,             0.00068526,             0.00068526,             0.00068526
                     14,                 1.8398,                 1.8056,                 1.6355,                0.53128,                0.29471,                0.27682,                0.11796,                 2.1269,                 2.5428,                 1.8682,             0.00067764,             0.00067764,             0.00067764
                     15,                 1.7905,                 1.6799,                  1.616,                0.33447,                0.36553,                0.31236,                 0.1329,                 2.1715,                  2.372,                 1.9153,             0.00067003,             0.00067003,             0.00067003
                     16,                 1.7884,                 1.6594,                 1.5976,                0.50045,                0.44332,                0.36518,                0.16118,                 2.1591,                 2.5232,                 1.8598,             0.00066242,             0.00066242,             0.00066242
                     17,                 1.7488,                 1.5532,                 1.5805,                0.35242,                0.41443,                0.29492,                0.12864,                 2.1917,                  2.643,                 1.9191,              0.0006548,              0.0006548,              0.0006548
                     18,                 1.7479,                 1.5624,                 1.5658,                0.46052,                0.32778,                  0.335,                0.11338,                 2.2201,                 2.3413,                 1.8855,             0.00064719,             0.00064719,             0.00064719
                     19,                 1.7128,                 1.4623,                 1.5427,                0.45568,                0.40699,                   0.39,                0.14895,                  2.185,                 2.5252,                 1.8805,             0.00063958,             0.00063958,             0.00063958
                     20,                 1.6901,                   1.42,                 1.5272,                0.48391,                0.42324,                0.43004,                0.16455,                  2.254,                 2.4149,                 1.8962,             0.00063196,             0.00063196,             0.00063196
                     21,                 1.7003,                    1.4,                 1.5203,                0.42629,                0.38915,                0.36309,                0.15447,                  2.255,                 2.2852,                 1.9635,             0.00062435,             0.00062435,             0.00062435
                     22,                 1.6812,                 1.4431,                 1.5031,                0.47558,                0.43939,                0.40699,                0.17829,                 2.2484,                 2.2716,                 1.8947,             0.00061674,             0.00061674,             0.00061674
                     23,                 1.6548,                 1.3836,                 1.5044,                 0.3954,                0.48664,                 0.3806,                0.18821,                 2.2512,                 2.4723,                 1.9393,             0.00060912,             0.00060912,             0.00060912
                     24,                 1.6491,                 1.3581,                 1.5042,                0.48422,                 0.4898,                0.44533,                0.19667,                 2.2644,                 2.3082,                  1.945,             0.00060151,             0.00060151,             0.00060151
                     25,                  1.601,                 1.3139,                 1.4747,                0.51899,                0.44766,                0.45653,                0.15757,                 2.2675,                 2.2588,                 1.9639,              0.0005939,              0.0005939,              0.0005939
                     26,                 1.6027,                 1.2878,                 1.4606,                0.54008,                 0.4322,                  0.396,                0.16836,                 2.3262,                 2.7023,                 1.9964,             0.00058629,             0.00058629,             0.00058629
                     27,                 1.5891,                 1.2805,                 1.4555,                0.48826,                 0.4625,                0.40435,                0.18003,                 2.2212,                 2.4131,                 1.9366,             0.00057867,             0.00057867,             0.00057867
                     28,                 1.5917,                 1.2714,                 1.4842,                0.37504,                0.42515,                0.34954,                0.15229,                 2.2025,                 2.4058,                  1.888,             0.00057106,             0.00057106,             0.00057106
                     29,                 1.5502,                 1.2124,                 1.4413,                0.45936,                0.51357,                0.44463,                0.19298,                 2.1824,                 2.3449,                 1.9252,             0.00056345,             0.00056345,             0.00056345
                     30,                 1.5441,                 1.1575,                 1.4434,                0.55116,                0.41016,                0.38753,                 0.1587,                 2.2629,                 2.4484,                 2.0076,             0.00055583,             0.00055583,             0.00055583
                     31,                 1.5102,                  1.154,                 1.4276,                0.48261,                 0.5004,                0.43756,                0.15264,                 2.3552,                 2.4747,                 2.0611,             0.00054822,             0.00054822,             0.00054822
                     32,                 1.5329,                 1.1137,                 1.3984,                0.46242,                0.48201,                0.40024,                0.17088,                 2.3383,                 2.5381,                 2.0177,             0.00054061,             0.00054061,             0.00054061
                     33,                  1.507,                 1.1535,                 1.4048,                0.39175,                0.35272,                0.31105,                0.13617,                 2.2482,                 2.6132,                 1.9602,             0.00053299,             0.00053299,             0.00053299
                     34,                 1.4583,                 1.0995,                 1.4076,                0.44446,                 0.4475,                0.35117,                0.14975,                 2.2208,                 2.4751,                 1.9394,             0.00052538,             0.00052538,             0.00052538
                     35,                 1.4632,                 1.1031,                 1.3775,                0.42189,                 0.5035,                0.39124,                0.17163,                 2.3199,                 2.3001,                  2.031,             0.00051777,             0.00051777,             0.00051777
                     36,                 1.4211,                 1.0471,                 1.3894,                0.43448,                0.47149,                0.44233,                0.18213,                 2.3294,                 2.5007,                 2.0286,             0.00051015,             0.00051015,             0.00051015
                     37,                 1.3963,                 1.0087,                  1.358,                0.45218,                0.44015,                0.40805,                0.17247,                 2.3496,                 2.8074,                 2.0501,             0.00050254,             0.00050254,             0.00050254
                     38,                 1.3428,                 1.0016,                 1.3162,                  0.556,                0.47087,                0.46855,                0.18916,                 2.3394,                 2.3523,                  2.002,             0.00049493,             0.00049493,             0.00049493
                     39,                 1.3797,                0.98777,                 1.3419,                0.33449,                0.53762,                0.35776,                 0.1517,                  2.368,                 2.5257,                  2.113,             0.00048732,             0.00048732,             0.00048732
                     40,                 1.3572,                0.99562,                 1.3434,                0.41112,                0.51516,                0.42474,                0.17806,                 2.3187,                 2.2856,                 2.0067,              0.0004797,              0.0004797,              0.0004797
                     41,                 1.3424,                0.95829,                 1.3375,                0.48167,                 0.4539,                0.49075,                0.22436,                 2.3107,                 2.4192,                  2.042,             0.00047209,             0.00047209,             0.00047209
                     42,                 1.3773,                0.93113,                 1.3371,                0.53714,                0.42971,                0.47803,                0.21453,                 2.2894,                 2.5437,                 2.0088,             0.00046448,             0.00046448,             0.00046448
                     43,                 1.3187,                0.96686,                 1.3172,                0.57509,                0.43719,                0.40956,                0.17453,                 2.3593,                 2.6717,                 2.0953,             0.00045686,             0.00045686,             0.00045686
                     44,                 1.3384,                0.96421,                 1.3267,                0.42577,                0.47775,                0.39576,                0.16961,                 2.3605,                 2.7173,                 2.0777,             0.00044925,             0.00044925,             0.00044925
                     45,                 1.3092,                0.91188,                   1.33,                0.58652,                0.47199,                 0.4801,                0.23362,                 2.3235,                 2.5115,                 2.0751,             0.00044164,             0.00044164,             0.00044164
                     46,                 1.3041,                0.94504,                 1.3087,                0.54702,                0.46193,                0.41678,                0.17954,                 2.4147,                 2.5595,                 2.1015,             0.00043402,             0.00043402,             0.00043402
                     47,                 1.2811,                0.92595,                 1.2839,                0.37922,                   0.53,                0.43174,                0.19127,                 2.3522,                 2.6437,                  2.084,             0.00042641,             0.00042641,             0.00042641
                     48,                 1.2809,                0.89282,                 1.2862,                0.60276,                0.44234,                0.44086,                0.19364,                 2.3734,                 2.7353,                 2.1203,              0.0004188,              0.0004188,              0.0004188
                     49,                 1.2025,                0.85558,                 1.2393,                0.58533,                0.50322,                0.50651,                0.22587,                 2.3571,                 2.3478,                 2.1042,             0.00041118,             0.00041118,             0.00041118
                     50,                 1.2695,                0.87865,                 1.2882,                0.58205,                0.47155,                0.49119,                0.21916,                 2.3743,                 2.7717,                 2.1225,             0.00040357,             0.00040357,             0.00040357
                     51,                 1.2719,                  0.847,                 1.2683,                0.50604,                0.47365,                0.42005,                0.19241,                 2.3187,                 2.6448,                 2.0471,             0.00039596,             0.00039596,             0.00039596
                     52,                 1.2523,                0.82601,                 1.2448,                  0.448,                 0.5509,                0.47636,                0.20294,                 2.3072,                 2.4576,                 2.0615,             0.00038835,             0.00038835,             0.00038835
                     53,                 1.1823,                0.79043,                 1.2274,                0.48044,                0.48645,                0.44102,                0.20025,                 2.3697,                 2.5727,                  2.155,             0.00038073,             0.00038073,             0.00038073
                     54,                 1.1822,                0.79348,                 1.2353,                0.57251,                 0.4948,                0.45981,                0.18738,                 2.4096,                 2.7087,                 2.1534,             0.00037312,             0.00037312,             0.00037312
                     55,                  1.128,                0.77224,                 1.2098,                0.51321,                0.46937,                0.43523,                0.20853,                 2.3554,                 2.7437,                 2.1131,             0.00036551,             0.00036551,             0.00036551
                     56,                 1.1523,                0.75476,                 1.1992,                 0.5458,                0.51161,                0.45742,                0.19386,                  2.401,                 2.4474,                 2.2397,             0.00035789,             0.00035789,             0.00035789
                     57,                 1.1538,                0.77866,                 1.2212,                0.60029,                0.49608,                0.47081,                0.20712,                 2.3702,                  2.568,                  2.151,             0.00035028,             0.00035028,             0.00035028
                     58,                 1.1452,                0.76419,                 1.2028,                0.52868,                 0.5294,                0.49142,                0.19984,                 2.3329,                 2.3891,                 2.1203,             0.00034267,             0.00034267,             0.00034267
                     59,                 1.1621,                0.77852,                 1.2136,                0.48163,                  0.545,                0.48991,                0.23047,                 2.3707,                 2.6256,                 2.1562,             0.00033505,             0.00033505,             0.00033505
                     60,                 1.1183,                0.76304,                 1.1878,                0.40586,                0.55358,                0.49741,                 0.2286,                 2.3694,                  2.572,                  2.154,             0.00032744,             0.00032744,             0.00032744
                     61,                 1.0873,                0.75184,                 1.1975,                0.47919,                0.49659,                0.49053,                0.22753,                 2.3607,                 2.4818,                 2.2205,             0.00031983,             0.00031983,             0.00031983
                     62,                 1.0897,                 0.7366,                 1.1823,                 0.4608,                0.49438,                0.44825,                0.19037,                  2.383,                 2.4417,                 2.1862,             0.00031221,             0.00031221,             0.00031221
                     63,                 1.0838,                 0.7126,                 1.1693,                0.58528,                0.48543,                0.44395,                0.18777,                  2.396,                 2.6444,                  2.168,              0.0003046,              0.0003046,              0.0003046
                     64,                 1.0809,                0.72985,                 1.1811,                0.55587,                0.50541,                0.45886,                0.19835,                 2.4419,                 2.6633,                 2.2109,             0.00029699,             0.00029699,             0.00029699
                     65,                 1.0516,                 0.6962,                 1.1424,                0.51285,                0.52062,                0.46014,                0.20485,                 2.3637,                 2.4406,                 2.1508,             0.00028937,             0.00028937,             0.00028937
                     66,                  1.064,                0.70261,                  1.167,                0.58071,                0.50074,                0.45327,                0.19774,                  2.402,                 2.3675,                 2.1888,             0.00028176,             0.00028176,             0.00028176
                     67,                 1.0595,                0.68604,                  1.163,                0.46585,                0.54256,                0.45963,                0.19951,                 2.4305,                 2.3197,                 2.2405,             0.00027415,             0.00027415,             0.00027415
                     68,                   1.01,                0.66908,                 1.1337,                0.49663,                0.49461,                 0.4479,                0.18387,                 2.4882,                 2.5753,                 2.3154,             0.00026654,             0.00026654,             0.00026654
                     69,                  1.038,                0.66976,                 1.1384,                0.51689,                0.51314,                 0.4869,                0.20902,                 2.3996,                   2.55,                 2.2308,             0.00025892,             0.00025892,             0.00025892
